iter	Passed	Remaining
770	10503	3119
771	10514	3105
772	10526	3091
773	10538	3077
774	10550	3063
775	10562	3048
776	10574	3034
777	10586	3020
778	10597	3006
779	10609	2992
780	10621	2978
781	10632	2963
782	10643	2949
783	10655	2935
784	10667	2921
785	10679	2907
786	10691	2893
787	10703	2879
788	10714	2865
789	10727	2851
790	10741	2838
791	10754	2824
792	10767	2810
793	10782	2797
794	10795	2783
795	10809	2770
796	10822	2756
797	10835	2742
798	10848	2729
799	10863	2715
800	10876	2702
801	10888	2688
802	10900	2674
803	10912	2660
804	10924	2646
805	10936	2632
806	10948	2618
807	10960	2604
808	10972	2590
809	10984	2576
810	10995	2562
811	11007	2548
812	11019	2534
813	11031	2520
814	11043	2506
815	11054	2492
816	11066	2478
817	11077	2464
818	11089	2450
819	11101	2437
820	11113	2423
821	11124	2409
822	11136	2395
823	11148	2381
824	11159	2367
825	11171	2353
826	11183	2339
827	11195	2325
828	11206	2311
829	11218	2297
830	11229	2283
831	11241	2270
832	11253	2256
833	11265	2242
834	11276	2228
835	11288	2214
836	11299	2200
837	11311	2186
838	11323	2172
839	11335	2159
840	11349	2145
841	11362	2132
842	11373	2118
843	11385	2104
844	11396	2090
845	11408	2076
846	11420	2062
847	11432	2049
848	11444	2035
849	11456	2021
850	11468	2008
851	11480	1994
852	11493	1980
853	11505	1966
854	11517	1953
855	11528	1939
856	11540	1925
857	11552	1911
858	11564	1898
859	11576	1884
860	11587	1870
861	11600	1857
862	11611	1843
863	11622	1829
864	11634	1815
865	11645	1802
866	11657	1788
867	11668	1774
868	11680	1760
869	11691	1747
870	11703	1733
871	11715	1719
872	11727	1706
873	11739	1692
874	11751	1678
875	11763	1665
876	11774	1651
877	11786	1637
878	11798	1624
879	11810	1610
880	11823	1597
881	11834	1583
882	11847	1569
883	11859	1556
884	11872	1542
885	11883	1529
886	11897	1515
887	11910	1502
888	11921	1488
889	11933	1474
890	11946	1461
891	11959	1448
892	11973	1434
893	11987	1421
894	12000	1407
895	12014	1394
896	12028	1381
897	12041	1367
898	12056	1354
899	12069	1341
900	12082	1327
901	12094	1314
902	12107	1300
903	12121	1287
904	12136	1273
905	12149	1260
906	12162	1247
907	12175	1233
908	12188	1220
909	12203	1206
910	12216	1193
911	12228	1179
912	12241	1166
913	12254	1153
914	12265	1139
915	12278	1125
916	12289	1112
917	12301	1098
918	12312	1085
919	12325	1071
920	12337	1058
921	12349	1044
922	12361	1031
923	12373	1017
924	12385	1004
925	12397	990
926	12409	977
927	12422	963
928	12433	950
929	12446	936
930	12458	923
931	12472	910
932	12485	896
933	12497	883
934	12511	869
935	12523	856
936	12536	842
937	12548	829
938	12561	816
939	12574	802
940	12587	789
941	12599	775
942	12612	762
943	12626	749
944	12639	735
945	12651	722
946	12664	708
947	12677	695
948	12690	681
949	12703	668
950	12715	655
951	12728	641
952	12740	628
953	12753	614
954	12765	601
955	12778	588
956	12789	574
957	12801	561
958	12816	547
959	12827	534
960	12839	521
961	12850	507
962	12861	494
963	12873	480
964	12885	467
965	12897	453
966	12908	440
967	12920	427
968	12931	413
969	12943	400
970	12954	386
971	12967	373
972	12979	360
973	12991	346
974	13003	333
975	13015	320
976	13027	306
977	13039	293
978	13051	279
979	13064	266
980	13075	253
981	13087	239
982	13099	226
983	13111	213
984	13123	199
985	13134	186
986	13146	173
987	13158	159
988	13171	146
989	13184	133
990	13197	119
991	13212	106
992	13227	93
993	13241	79
994	13256	66
995	13270	53
996	13283	39
997	13297	26
998	13311	13
999	13324	0
