iter	Passed	Remaining
686	12550	5717
687	12566	5698
688	12583	5679
689	12599	5660
690	12616	5641
691	12635	5623
692	12655	5606
693	12675	5588
694	12691	5569
695	12708	5550
696	12725	5532
697	12741	5512
698	12759	5494
699	12776	5475
700	12794	5457
701	12810	5438
702	12826	5418
703	12841	5399
704	12857	5380
705	12873	5360
706	12890	5342
707	12905	5322
708	12922	5304
709	12941	5285
710	12960	5268
711	12980	5250
712	13001	5233
713	13022	5216
714	13042	5198
715	13064	5181
716	13086	5165
717	13108	5148
718	13128	5130
719	13148	5113
720	13187	5103
721	13212	5087
722	13236	5071
723	13258	5054
724	13279	5037
725	13297	5018
726	13315	5000
727	13334	4982
728	13351	4963
729	13368	4944
730	13385	4925
731	13402	4906
732	13419	4887
733	13435	4869
734	13451	4849
735	13467	4830
736	13484	4811
737	13500	4793
738	13516	4773
739	13533	4754
740	13549	4735
741	13564	4716
742	13583	4698
743	13600	4679
744	13616	4660
745	13632	4641
746	13649	4622
747	13666	4604
748	13683	4585
749	13701	4567
750	13720	4549
751	13736	4530
752	13753	4511
753	13770	4492
754	13787	4473
755	13802	4454
756	13817	4435
757	13834	4416
758	13851	4398
759	13866	4378
760	13883	4360
761	13899	4341
762	13914	4322
763	13930	4303
764	13946	4284
765	13962	4265
766	13976	4245
767	13993	4227
768	14009	4208
769	14026	4189
770	14041	4170
771	14057	4151
772	14074	4133
773	14090	4114
774	14109	4096
775	14126	4077
776	14146	4059
777	14162	4041
778	14177	4022
779	14195	4003
780	14210	3984
781	14228	3966
782	14245	3948
783	14263	3929
784	14280	3911
785	14298	3893
786	14317	3875
787	14336	3857
788	14356	3839
789	14373	3820
790	14389	3802
791	14407	3783
792	14424	3765
793	14439	3746
794	14456	3727
795	14473	3709
796	14489	3690
797	14505	3671
798	14521	3653
799	14536	3634
800	14554	3615
801	14569	3597
802	14585	3578
803	14603	3559
804	14622	3542
805	14641	3524
806	14659	3505
807	14676	3487
808	14693	3469
809	14710	3450
810	14728	3432
811	14745	3414
812	14763	3395
813	14781	3377
814	14800	3359
815	14816	3341
816	14834	3322
817	14851	3304
818	14868	3285
819	14885	3267
820	14903	3249
821	14920	3230
822	14937	3212
823	14955	3194
824	14972	3175
825	14990	3157
826	15006	3139
827	15024	3121
828	15042	3102
829	15059	3084
830	15079	3066
831	15098	3048
832	15121	3031
833	15145	3014
834	15162	2996
835	15178	2977
836	15195	2959
837	15211	2940
838	15229	2922
839	15248	2904
840	15266	2886
841	15285	2868
842	15305	2850
843	15334	2834
844	15354	2816
845	15376	2799
846	15396	2781
847	15415	2763
848	15433	2744
849	15450	2726
850	15467	2708
851	15485	2689
852	15503	2671
853	15520	2653
854	15535	2634
855	15552	2616
856	15571	2598
857	15591	2580
858	15608	2562
859	15626	2543
860	15644	2525
861	15672	2508
862	15690	2490
863	15706	2472
864	15723	2454
865	15740	2435
866	15757	2417
867	15774	2398
868	15791	2380
869	15806	2361
870	15825	2343
871	15843	2325
872	15858	2307
873	15873	2288
874	15889	2269
875	15904	2251
876	15920	2232
877	15936	2214
878	15951	2195
879	15969	2177
880	15987	2159
881	16007	2141
882	16026	2123
883	16045	2105
884	16064	2087
885	16084	2069
886	16105	2051
887	16137	2035
888	16200	2022
889	16236	2006
890	16270	1990
891	16304	1974
892	16336	1957
893	16386	1942
894	16420	1926
895	16458	1910
896	16490	1893
